"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"5225";"GM0221";"2020JJ00";"   11077"
"5251";"GM0222";"2020JJ00";"   58001"
"5277";"GM0660";"2020JJ00";""
"5303";"GM0766";"2020JJ00";"   26222"
"5329";"GM0058";"2020JJ00";""
"5355";"GM0315";"2020JJ00";""
"5381";"GM0505";"2020JJ00";"  119284"
"5407";"GM0498";"2020JJ00";"   19719"
"5433";"GM0316";"2020JJ00";""
"5459";"GM1719";"2020JJ00";"   27272"
"5485";"GM0303";"2020JJ00";"   41555"
"5511";"GM0767";"2020JJ00";""
"5537";"GM0225";"2020JJ00";"   18926"
"5563";"GM0662";"2020JJ00";""
"5589";"GM0226";"2020JJ00";"   25126"
"5615";"GM0768";"2020JJ00";""
"5641";"GM0769";"2020JJ00";""
"5667";"GM0112";"2020JJ00";""
"5693";"GM0902";"2020JJ00";""
"5719";"GM0227";"2020JJ00";""
"5745";"GM1711";"2020JJ00";"   31610"
"5771";"GM0385";"2020JJ00";"   36197"
"5797";"GM0228";"2020JJ00";"  117165"
"5823";"GM0113";"2020JJ00";""
"5849";"GM0317";"2020JJ00";"    9247"
"5875";"GM1651";"2020JJ00";""
"5901";"GM0770";"2020JJ00";"   19313"
"5927";"GM0357";"2020JJ00";""
"5953";"GM0229";"2020JJ00";""
"5979";"GM0905";"2020JJ00";""
"6005";"GM1903";"2020JJ00";"   25768"
"6031";"GM0772";"2020JJ00";"  234394"
"6057";"GM0230";"2020JJ00";"   23161"
"6083";"GM0231";"2020JJ00";""
"6109";"GM0114";"2020JJ00";"  107048"
"6135";"GM0388";"2020JJ00";"   18591"
"6161";"GM0153";"2020JJ00";"  159640"
"6187";"GM0232";"2020JJ00";"   33178"
"6213";"GM0233";"2020JJ00";"   27008"
"6239";"GM0776";"2020JJ00";""
"6265";"GM0777";"2020JJ00";"   43878"
"6291";"GM0068";"2020JJ00";""
"6317";"GM1722";"2020JJ00";""
"6343";"GM0778";"2020JJ00";""
"6369";"GM0070";"2020JJ00";""
"6395";"GM1921";"2020JJ00";""
"6421";"GM1940";"2020JJ00";"   51564"
"6447";"GM0653";"2020JJ00";""
"6473";"GM0115";"2020JJ00";""
"6499";"GM0779";"2020JJ00";"   21544"
"6525";"GM0236";"2020JJ00";""
"6551";"GM0781";"2020JJ00";""
"6577";"GM1771";"2020JJ00";"   39726"
"6603";"GM0906";"2020JJ00";""
"6629";"GM0782";"2020JJ00";""
"6655";"GM1652";"2020JJ00";"   30723"
"6681";"GM0237";"2020JJ00";""
"6707";"GM0238";"2020JJ00";""
"6733";"GM0154";"2020JJ00";""
"6759";"GM0907";"2020JJ00";"   16921"
"6785";"GM0689";"2020JJ00";""
"6811";"GM0116";"2020JJ00";""
"6837";"GM0784";"2020JJ00";"   26431"
"6863";"GM0511";"2020JJ00";""
"6889";"GM1924";"2020JJ00";"   50049"
"6915";"GM0664";"2020JJ00";"   38082"
"6941";"GM0785";"2020JJ00";"   23904"
"6967";"GM1942";"2020JJ00";"   58055"
"6993";"GM0156";"2020JJ00";""
"7019";"GM0512";"2020JJ00";"   37022"
"7045";"GM0239";"2020JJ00";""
"7071";"GM0513";"2020JJ00";"   73427"
"7097";"GM0693";"2020JJ00";""
"7123";"GM0365";"2020JJ00";""
"7149";"GM0157";"2020JJ00";""
"7175";"GM0786";"2020JJ00";"   12436"
"7201";"GM0390";"2020JJ00";""
"7227";"GM0517";"2020JJ00";""
"7253";"GM0518";"2020JJ00";"  545838"
"7279";"GM0787";"2020JJ00";""
"7305";"GM0519";"2020JJ00";""
"7331";"GM0240";"2020JJ00";""
"7357";"GM0241";"2020JJ00";""
"7383";"GM0014";"2020JJ00";"  232874"
"7409";"GM0015";"2020JJ00";""
"7435";"GM0912";"2020JJ00";""
"7461";"GM0913";"2020JJ00";""
"7487";"GM1729";"2020JJ00";"   14171"
"7513";"GM0158";"2020JJ00";"   24311"
"7539";"GM0788";"2020JJ00";"   14370"
"7565";"GM0392";"2020JJ00";"  162902"
"7591";"GM0393";"2020JJ00";""
"7617";"GM0394";"2020JJ00";"  156002"
"7643";"GM0914";"2020JJ00";""
"7669";"GM1655";"2020JJ00";"   30284"
"7695";"GM0789";"2020JJ00";""
"7721";"GM0159";"2020JJ00";""
"7747";"GM0160";"2020JJ00";"   60948"
"7773";"GM0243";"2020JJ00";"   48414"
"7799";"GM0523";"2020JJ00";"   18295"
"7825";"GM0017";"2020JJ00";""
"7851";"GM0395";"2020JJ00";""
"7877";"GM0072";"2020JJ00";"   15722"
"7903";"GM0318";"2020JJ00";""
"7929";"GM0161";"2020JJ00";""
"7955";"GM0244";"2020JJ00";"   12209"
"7981";"GM0117";"2020JJ00";""
"8007";"GM0245";"2020JJ00";""
"8033";"GM1937";"2020JJ00";""
"8059";"GM0396";"2020JJ00";"   39182"
"8085";"GM0397";"2020JJ00";"   27234"
"8111";"GM0246";"2020JJ00";"   18589"
"8137";"GM0074";"2020JJ00";"   50493"
"8163";"GM0247";"2020JJ00";""
"8189";"GM0398";"2020JJ00";"   57587"
"8215";"GM0526";"2020JJ00";""
"8241";"GM0917";"2020JJ00";"   87086"
"8267";"GM0791";"2020JJ00";""
"8293";"GM0793";"2020JJ00";""
"8319";"GM1658";"2020JJ00";"   16152"
"8345";"GM0399";"2020JJ00";"   23968"
"8371";"GM0162";"2020JJ00";""
"8397";"GM0918";"2020JJ00";""
"8423";"GM0400";"2020JJ00";"   56296"
"8449";"GM0163";"2020JJ00";"   35916"
"8475";"GM0530";"2020JJ00";"   40142"
"8501";"GM0794";"2020JJ00";"   92423"
"8527";"GM0795";"2020JJ00";""
"8553";"GM0531";"2020JJ00";"   31202"
"8579";"GM0248";"2020JJ00";""
"8605";"GM0164";"2020JJ00";"   81140"
"8631";"GM0796";"2020JJ00";"  155111"
"8657";"GM0251";"2020JJ00";""
"8683";"GM0252";"2020JJ00";"   16454"
"8709";"GM0797";"2020JJ00";"   44692"
"8735";"GM0920";"2020JJ00";""
"8761";"GM0534";"2020JJ00";"   22209"
"8787";"GM0798";"2020JJ00";"   15518"
"8813";"GM0402";"2020JJ00";"   90831"
"8839";"GM1963";"2020JJ00";"   87401"
"8865";"GM0253";"2020JJ00";""
"8891";"GM0799";"2020JJ00";""
"8917";"GM1735";"2020JJ00";"   35017"
"8943";"GM1966";"2020JJ00";"   47801"
"8969";"GM1911";"2020JJ00";"   48432"
"8995";"GM0165";"2020JJ00";""
"9021";"GM0675";"2020JJ00";""
"9047";"GM0801";"2020JJ00";""
"9073";"GM0802";"2020JJ00";""
"9099";"GM0800";"2020JJ00";""
"9125";"GM0118";"2020JJ00";"   55699"
"9151";"GM0018";"2020JJ00";""
"9177";"GM0405";"2020JJ00";"   73261"
"9203";"GM0923";"2020JJ00";""
"9229";"GM1507";"2020JJ00";"   42429"
"9255";"GM0321";"2020JJ00";"   50146"
"9281";"GM0803";"2020JJ00";""
"9307";"GM0255";"2020JJ00";""
"9333";"GM0406";"2020JJ00";"   41273"
"9359";"GM0677";"2020JJ00";"   27556"
"9385";"GM0256";"2020JJ00";""
"9411";"GM0925";"2020JJ00";""
"9437";"GM0195";"2020JJ00";""
"9463";"GM0191";"2020JJ00";""
"9489";"GM0353";"2020JJ00";"   34109"
"9515";"GM0645";"2020JJ00";""
"9541";"GM1884";"2020JJ00";"   27297"
"9567";"GM0166";"2020JJ00";"   54319"
"9593";"GM0678";"2020JJ00";"   12695"
"9619";"GM0537";"2020JJ00";"   65753"
"9645";"GM0928";"2020JJ00";"   45749"
"9671";"GM0257";"2020JJ00";""
"9697";"GM0929";"2020JJ00";""
"9723";"GM0258";"2020JJ00";""
"9749";"GM0804";"2020JJ00";""
"9775";"GM1598";"2020JJ00";"   22749"
"9801";"GM0079";"2020JJ00";""
"9827";"GM0588";"2020JJ00";""
"9853";"GM0542";"2020JJ00";"   29526"
"9879";"GM1931";"2020JJ00";"   56319"
"9905";"GM1659";"2020JJ00";"   22523"
"9931";"GM1685";"2020JJ00";"   15730"
"9957";"GM0882";"2020JJ00";"   37445"
"9983";"GM0415";"2020JJ00";"   11491"
"10009";"GM0325";"2020JJ00";""
"10035";"GM0416";"2020JJ00";"   28163"
"10061";"GM1621";"2020JJ00";"   62384"
"10087";"GM0417";"2020JJ00";"   11280"
"10113";"GM0022";"2020JJ00";""
"10139";"GM0805";"2020JJ00";""
"10165";"GM0545";"2020JJ00";""
"10191";"GM0326";"2020JJ00";""
"10217";"GM0080";"2020JJ00";"  124084"
"10243";"GM0081";"2020JJ00";""
"10269";"GM0546";"2020JJ00";"  125099"
"10295";"GM0547";"2020JJ00";"   27056"
"10321";"GM0548";"2020JJ00";""
"10347";"GM1916";"2020JJ00";"   76534"
"10373";"GM0995";"2020JJ00";"   78598"
